,no,text,date,class
0,1,"ยอดผู้ติดเชื้อโควิด19 วันศุกร์ที่ 30 กรกฏาคม 2564 รวม 17,345 ราย ผู้ป่วยสะสม 549,512 ราย ตั้งแต่ 1 เมษายน หายป่วยกลับบ้าน 10,678 ราย หายป่วยสะสม 353,744 ราย ตั้งแต่ 1 เมษายน ผู้ป่วยกำลังรักษา 192,526 ราย เสียชีวิต 117 ราย 
",30 กรกฏาคม 2564,0
1,2,"สถานการณ์ โควิด19 ในประเทศไทย ติดเชื้อ 17,345 เสียชีวิต 117 ราย
",30 กรกฏาคม 2564,0
2,3,"จำนวนผู้ติดเชื้อ โควิด19 จากคลัสเตอร์ใหม่ที่พบ ณ วันที่ 29 กรกฎาคม 64 สมุทรสาคร โรงงานผลิตภัณฑ์ปลา, บริษัทยางรถยนต์ รวม 27 ราย ปทุมธานี บริษัทยางรถยนต์ 25 ราย สมุทรปราการ บริษัทระบบกำลังไฟฟ้า 10 ราย ชลบุรี โรงงานเครื่องปรับอากาศ 15 ราย สงขลา โรงการแม่แบบเซรามิค 13 ราย

",29 กรกฏาคม 2564,0
3,4,"443 ราย ติดเชื้อครอบครัว,ที่ทำงาน,ตลาด เด็กต่ำกว่า 6 ปี เท่ากับ19 6ถึง12 ปี เท่ากับ28 60 ปีขึ้นไป เท่ากับ58 12ถึง60 ปี เท่ากับ338 ต่างชาติ17 ปากเกร็ด132 เมือง121 บางบัวทอง81 ไทรน้อย59 บางกรวย20 บางใหญ่ 30 ",30 กรกฏาคม 2564,0
4,5,"30 กรกฎาคม 64 สถานการณ์ โควิด19 ในประเทศไทย ตั้งแต่ 1เมษายน 2564 รวม 17,345 ราย ผู้ป่วยสะสม 549,512 ราย ตั้งแต่ 1 เมษายน หายป่วยกลับบ้าน 10,678 ราย หายป่วยสะสม 353,744 ราย ตั้งแต่ 1 เมษายน ผู้ป่วยกำลังรักษา 192,526 ราย เสียชีวิต 117 ราย ",30 กรกฏาคม 2564,0
5,6,"ชลบุรี ติดเชื้อ  ยอดพุ่ง 1,062 ราย สสจ.ชลบุรี เผย ยอดผู้ติดเชื้อจาก บริษัท แด-เอ อีเลคโทรนิคส์ (ประเทศไทย) จำกัด อำเภอบ้านบึง 12 ราย อาชีพเสี่ยงพบปะผู้คนจำนวนมาก 21 ราย บุคลากรทางการแพทย์ 3 ราย สถานประกอบการในจังหวัดระยองหลายแห่ง 14 ราย ",31 กรกฏาคม 2564,0
6,7,ภูเก็ต วันนี้ 30 กรกฏาคมคมคม 2564 ข้อมูล ณ เวลา 18.30 น. มีผู้ติดเชื้อรายใหม่ รวม 35 ราย ประกอบด้วย คนจากในภูเก็ต 35 ราย และจากโครงการ ภูเก็ตแซนด์บ็อกซ์ 0 ราย ทำให้ยอดสะสมผู้ติดเชื้อจาก  นับจากเริ่มโครงการ ยังคง 30 ราย,30 กรกฏาคม 2564,0
7,8,"รายงาน ถึงวันที่30 กรกฎาคม 2564 ฉีดสะสมแล้วจำนวน17,654,936ราย 
",31 กรกฏาคม 2564,0
8,9,"ยอดผู้ติดเชื้อ หลังจากประกาศล็อคดาวน์ 12/7 8,656 ราย 13/7 8,685 ราย 14/7 9,317 ราย",14 กรกฏาคม 2564,0
9,10,โควิด19 เสียชีวิต 21 ราย สะสม 265 ราย ติดเชื้อเพิ่ม 1940 ราย,2 พฤษภาคม 2564,0
10,11,"วันนี้มีรายงานผู้ติดเชื้อ รายใหม่ เพิ่มอีก 153 ราย ทำให้มียอดสะสมผู้ติดเชื้อ  2,764 ราย",2 พฤษภาคม 2564,0
11,12,"วันอาทิตย์ที่ 2 พฤษภาคม 2564  เวลา 11.30 น.สถานการณ์การติดเชื้อโควิด19 ในประเทศผู้ป่วยรายใหม่ 1,940 ราย ผู้ป่วยยืนยันสะสม 68,984 ราย หายป่วยแล้ว 39,481 ราย เสียชีวิตเพิ่ม 21 ราย สะสม 245 ราย
",2 พฤษภาคม 2564,0
12,13,ข่าวดีวันนี้ น้องชายได้กลับบ้านแล้ว หลังรักษาตัวในฐานะผู้ป่วยโควิดที่มีเชื้อลงปอด ต้องใช้เครื่องออกซิเจนและกินยาฟาวิพิราเวียร์ อยู่โรงพยาบาล 9 วันเต็มๆ ก่อนหน้านั้นอยู่ฮอสพิเทล ยังมีอาการไออยู่บ้างแต่หมอดูปอดแล้วทุกอย่างหายดีแล้ว ฟื้นฟูที่บ้านต่อ,2 พฤษภาคม 2564,0
